offer_id,offer_title,offer_type,category,discount_percent,valid_from,valid_till,usage_limit,offer_channel,terms
1,Travel-6025,Cashback,Fashion,30.1,2024-05-06,2024-10-23,718,App,Simple hair probably create person rich much understand.
2,Travel-6384,Discount,Electronics,18.52,2024-04-28,2024-11-05,799,SMS,News beautiful black outside response partner including.
3,Electronics-3645,LoyaltyPoints,Entertainment,41.94,2025-01-24,2025-12-09,989,Website,Result worker fire most candidate.
4,Electronics-8543,LoyaltyPoints,Entertainment,43.51,2024-09-07,2024-09-11,381,Website,Opportunity able none likely.
5,Food-8366,LoyaltyPoints,Electronics,47.15,2024-04-11,2025-12-16,278,Website,Strong example door carry various down.
6,Fashion-3979,Cashback,Travel,47.66,2024-04-24,2025-08-11,326,Email,Story issue table too.
7,Food-6484,LoyaltyPoints,Fashion,11.54,2023-09-14,2025-01-27,534,App,Matter order chance choose century focus fish.
8,Food-2794,LoyaltyPoints,Travel,18.27,2024-11-12,2025-03-22,211,SMS,Yourself choice move.
9,Travel-8155,Discount,Travel,17.95,2024-12-06,2025-02-08,572,Website,Amount benefit region analysis discussion friend size enough.
10,Electronics-2614,Cashback,Food,13,2025-04-01,2025-08-01,463,Email,Catch start act crime level similar enjoy.
11,Food-5804,Discount,Electronics,37.12,2025-01-19,2025-11-15,633,Email,Crime idea out next popular begin.
12,Electronics-1715,Cashback,Electronics,7.82,2023-12-05,2024-04-15,443,Email,Station today possible trade either.
13,Fashion-3716,Cashback,Food,29.22,2024-02-11,2025-03-16,544,Website,Risk have question.
14,Electronics-7021,LoyaltyPoints,Entertainment,45.69,2024-06-28,2025-07-26,459,App,Study true reach nature increase another.
15,Electronics-2267,Coupon,Electronics,29.06,2025-03-08,2025-06-22,592,SMS,Republican throughout dark card many hit before.
16,Food-3442,Discount,Entertainment,33.81,2024-09-08,2024-12-19,561,SMS,Congress physical sea painting.
17,Fashion-1181,Discount,Fashion,9.71,2025-06-30,2025-12-04,155,Website,By business charge between garden.
18,Food-5895,Discount,Travel,47.22,2025-02-17,2025-03-05,210,App,And indeed head who.
19,Food-1683,LoyaltyPoints,Electronics,17.25,2025-02-10,2025-05-28,590,SMS,Little home chair lay pay Mrs.
20,Electronics-1057,Cashback,Electronics,27.14,2024-05-14,2025-05-04,871,App,Born culture property magazine type candidate.
21,Entertainment-4020,LoyaltyPoints,Food,35.67,2024-12-31,2025-07-10,880,App,Three oil adult western understand player star become.
22,Entertainment-7130,Discount,Food,44.96,2024-01-11,2024-11-29,214,Website,Space leave green fund young.
23,Fashion-9641,LoyaltyPoints,Travel,17.83,2024-09-05,2025-07-10,413,Email,Cold war pass condition.
24,Electronics-7018,Discount,Food,37.95,2023-11-18,2024-06-14,254,App,Seven international food.
25,Travel-7161,Discount,Fashion,43.85,2024-09-26,2025-11-20,564,Email,Citizen executive century raise me each.
26,Entertainment-2701,Cashback,Fashion,30.52,2024-09-11,2025-01-15,627,App,Beat idea authority base.
27,Food-6832,Cashback,Entertainment,11.64,2024-11-28,2025-11-01,306,Email,Simple ever PM red store form.
28,Fashion-9049,LoyaltyPoints,Electronics,49.89,2025-05-21,2025-11-04,658,SMS,Loss address factor.
29,Fashion-2738,Discount,Travel,37.49,2025-05-01,2025-12-07,673,Website,North young leg.
30,Fashion-8153,Discount,Travel,17.02,2024-11-28,2025-05-01,859,Email,Important stage step student clear knowledge response.
31,Fashion-3827,Discount,Travel,49.56,2025-02-26,2025-07-10,753,SMS,Everything although grow school yet.
32,Entertainment-1594,Discount,Entertainment,39.02,2023-10-13,2024-10-23,460,SMS,Type simply what grow rock.
33,Travel-5876,Discount,Travel,5.96,2025-04-02,2025-07-21,678,App,Special front whatever bill thought this.
34,Electronics-2599,Cashback,Food,11.47,2025-01-12,2025-11-27,273,SMS,Discussion between culture full yeah management his.
35,Entertainment-9981,Cashback,Electronics,13.46,2024-10-04,2024-12-08,899,Email,Best popular arm heavy member just.
36,Entertainment-1341,Coupon,Fashion,10.61,2024-07-24,2025-11-16,200,Website,High partner easy record.
37,Travel-4104,Discount,Travel,31.9,2024-08-05,2025-03-24,785,Email,Station allow meeting plant son.
38,Fashion-8639,Discount,Food,38.24,2023-07-25,2023-11-20,785,Email,Work though dream the media draw before.
39,Fashion-2452,Cashback,Food,19.82,2023-10-18,2025-07-18,374,SMS,Very at wonder support fire.
