purchase_id,customer_id,product_id,offer_id,purchase_date,purchase_time,item_count,total_amount,discount_applied,payment_method,device_type,purchase_channel,status
1,970,188,902,2025-03-14,6:42:32,8,3978.15,413.62,Cash,Mobile,Web,Failed
2,912,160,659,2025-07-05,18:46:28,8,3208.62,160.53,Wallet,Tablet,In-store,Refunded
3,899,27,853,2023-12-17,3:08:56,1,3997.12,22.75,Credit Card,Desktop,App,Failed
4,507,82,457,2025-05-29,5:38:31,4,1383.7,427.54,NetBanking,Mobile,In-store,Failed
5,838,195,453,2024-04-28,8:48:03,10,136.58,496.99,UPI,Mobile,In-store,Failed
6,600,168,832,2024-07-09,12:02:18,2,1369.41,493.88,Wallet,Desktop,App,Failed
7,153,83,191,2023-08-08,2:10:29,6,2129.14,409.32,Credit Card,Mobile,In-store,Failed
8,428,51,128,2025-02-11,7:49:41,9,4264.81,53.92,NetBanking,Mobile,In-store,Completed
9,300,66,915,2025-06-10,9:28:07,2,251.85,226.88,Wallet,Mobile,App,Completed
10,631,125,822,2024-12-23,8:15:19,5,3183.51,154.85,NetBanking,Tablet,Web,Failed
11,37,171,476,2023-10-03,0:21:36,2,1109.02,41.37,NetBanking,Mobile,Web,Refunded
12,561,28,9,2024-12-16,1:17:37,6,4501.59,120.36,Cash,Desktop,In-store,Completed
13,741,199,734,2024-07-15,13:27:36,8,2654.11,332.58,Cash,Tablet,App,Failed
14,470,3,914,2024-10-24,3:55:50,2,3950.72,177.71,NetBanking,Desktop,App,Refunded
15,5,91,125,2025-06-17,13:21:49,10,2563.29,103.52,Wallet,Tablet,App,Completed
16,561,72,349,2024-03-10,13:11:54,10,2353.52,186.35,UPI,Mobile,App,Completed
17,930,13,484,2023-08-12,12:41:20,3,2039.05,79.93,Credit Card,Tablet,Web,Refunded
18,963,116,76,2024-02-01,11:48:40,9,2129.14,405.37,NetBanking,Mobile,App,Refunded
19,322,55,529,2024-10-16,23:02:50,4,2427.69,145.7,UPI,Desktop,App,Refunded
20,200,143,502,2025-04-29,0:23:58,1,4889.48,440.66,UPI,Tablet,App,Refunded
21,269,67,97,2025-02-08,18:27:18,7,1319.32,236.99,Credit Card,Tablet,App,Failed
22,783,44,886,2024-12-22,17:25:18,9,3581.19,129.53,NetBanking,Mobile,Web,Refunded
23,812,157,900,2025-01-31,15:18:38,4,3970.74,185.06,UPI,Tablet,Web,Failed
24,319,50,156,2024-03-08,18:28:08,2,3547.18,208.23,NetBanking,Tablet,In-store,Completed
25,169,196,931,2024-02-01,13:28:36,7,4733.76,136.53,Wallet,Tablet,In-store,Refunded
26,98,117,155,2023-12-26,5:29:10,8,1561.87,304.67,Cash,Desktop,Web,Failed
27,163,56,544,2024-12-16,23:19:59,10,939.19,462.42,Credit Card,Tablet,Web,Completed
28,884,97,254,2024-08-22,18:32:13,5,3394.8,406.24,UPI,Desktop,App,Completed
29,606,193,394,2024-06-27,13:04:27,6,1682.44,213.74,UPI,Mobile,App,Completed
30,311,135,261,2025-04-12,13:59:35,2,1718.6,46.31,NetBanking,Tablet,In-store,Completed
31,133,147,19,2024-08-16,20:14:54,10,1667.55,347.38,Credit Card,Tablet,In-store,Completed
32,244,45,50,2023-11-07,23:52:33,7,4221.49,122.01,NetBanking,Mobile,App,Completed
33,115,196,289,2024-09-13,5:33:26,7,507.88,88.6,Wallet,Mobile,In-store,Completed
34,803,122,996,2024-09-23,9:47:52,9,2834.33,162.2,NetBanking,Mobile,In-store,Failed
35,357,35,310,2024-09-22,4:34:06,8,2974.93,53.28,Credit Card,Mobile,In-store,Failed
